=== ESTRUCTURA COMPLETA DE BASE DE DATOS ===

-- TABLAS Y SUS COLUMNAS
TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
categoria                                                                                                                        nombre                                                                                                                           varchar                                                                                                                                                50 NO         
categoria                                                                                                                        descripcion                                                                                                                      varchar                                                                                                                                               256 YES        
cliente                                                                                                                          idcliente                                                                                                                        int                                                                                                                                                  NULL NO         
cliente                                                                                                                          nombre                                                                                                                           varchar                                                                                                                                                50 NO         
cliente                                                                                                                          apellidos                                                                                                                        varchar                                                                                                                                               100 NO         
cliente                                                                                                                          sexo                                                                                                                             varchar                                                                                                                                                 1 YES        
cliente                                                                                                                          fecha_nacimiento                                                                                                                 date                                                                                                                                                 NULL YES        
cliente                                                                                                                          tipo_documento                                                                                                                   varchar                                                                                                                                                20 NO         
cliente                                                                                                                          num_documento                                                                                                                    varchar                                                                                                                                                20 NO         
cliente                                                                                                                          direccion                                                                                                                        varchar                                                                                                                                               100 YES        
cliente                                                                                                                          telefono                                                                                                                         varchar                                                                                                                                                20 YES        
cliente                                                                                                                          email                                                                                                                            varchar                                                                                                                                                50 YES        
combo                                                                                                                            id_combo                                                                                                                         int                                                                                                                                                  NULL NO         
combo                                                                                                                            nombre_combo                                                                                                                     varchar                                                                                                                                               100 NO         
combo                                                                                                                            codigo_combo                                                                                                                     varchar                                                                                                                                                13 YES        
combo                                                                                                                            precio_combo                                                                                                                     decimal                                                                                                                                              NULL NO         
combo                                                                                                                            activo                                                                                                                           bit                                                                                                                                                  NULL YES        
combo_detalle                                                                                                                    id_combo                                                                                                                         int                                                                                                                                                  NULL NO         
combo_detalle                                                                                                                    id_articulo                                                                                                                      int                                                                                                                                                  NULL NO         
combo_detalle                                                                                                                    cantidad                                                                                                                         int                                                                                                                                                  NULL NO         
compra                                                                                                                           idcompra                                                                                                                         int                                                                                                                                                  NULL NO         
compra                                                                                                                           idproveedor                                                                                                                      int                                                                                                                                                  NULL NO         
compra                                                                                                                           idtrabajador                                                                                                                     int                                                                                                                                                  NULL NO         
compra                                                                                                                           fecha_hora                                                                                                                       datetime                                                                                                                                             NULL YES        
compra                                                                                                                           tipo_comprobante                                                                                                                 varchar                                                                                                                                                20 NO         
compra                                                                                                                           serie                                                                                                                            varchar                                                                                                                                                10 NO         
compra                                                                                                                           numero_comprobante                                                                                                               varchar                                                                                                                                                20 NO         
compra                                                                                                                           subtotal                                                                                                                         decimal                                                                                                                                              NULL NO         
compra                                                                                                                           iva                                                                                                                              decimal                                                                                                                                              NULL NO         
compra                                                                                                                           total                                                                                                                            decimal                                                                                                                                              NULL NO         
compra                                                                                                                           estado                                                                                                                           varchar                                                                                                                                                20 YES        
compra                                                                                                                           observaciones                                                                                                                    text                                                                                                                                           2147483647 YES        
compra                                                                                                                           tipo_documento                                                                                                                   varchar                                                                                                                                                20 YES        
compra                                                                                                                           idorden_referencia                                                                                                               int                                                                                                                                                  NULL YES        
compra                                                                                                                           tasa_bcv                                                                                                                         decimal                                                                                                                                              NULL YES        
compra                                                                                                                           igtf                                                                                                                             decimal                                                                                                                                              NULL YES        
compra                                                                                                                           estatus_pago                                                                                                                     varchar                                                                                                                                                20 YES        
configuracion                                                                                                                    id_config                                                                                                                        int                                                                                                                                                  NULL NO         
configuracion                                                                                                                    nombre_negocio                                                                                                                   varchar                                                                                                                                               100 NO         
configuracion                                                                                                                    rif                                                                                                                              varchar                                                                                                                                                20 NO         
configuracion                                                                                                                    es_contribuyente_especial                                                                                                        bit                                                                                                                                                  NULL YES        
configuracion                                                                                                                    tasa_igtf                                                                                                                        decimal                                                                                                                                              NULL YES        
configuracion                                                                                                                    iva_general                                                                                                                      decimal                                                                                                                                              NULL YES        
configuracion                                                                                                                    iva_reducido                                                                                                                     decimal                                                                                                                                              NULL YES        
configuracion                                                                                                                    iva_adicional                                                                                                                    decimal                                                                                                                                              NULL YES        
configuracion                                                                                                                    usa_divisas                                                                                                                      bit                                                                                                                                                  NULL YES        
configuracion_medios_pago                                                                                                        idconfig                                                                                                                         int                                                                                                                                                  NULL NO         
configuracion_medios_pago                                                                                                        medio_pago                                                                                                                       varchar                                                                                                                                                20 NO         
configuracion_medios_pago                                                                                                        activo                                                                                                                           bit                                                                                                                                                  NULL NO         
configuracion_medios_pago                                                                                                        configuracion_json                                                                                                               nvarchar                                                                                                                                               -1 YES        
configuracion_medios_pago                                                                                                        fecha_actualizacion                                                                                                              datetime                                                                                                                                             NULL NO         
detalle_compra                                                                                                                   iddetalle_compra                                                                                                                 int                                                                                                                                                  NULL NO         
detalle_compra                                                                                                                   idcompra                                                                                                                         int                                                                                                                                                  NULL NO         
detalle_compra                                                                                                                   idarticulo                                                                                                                       int                                                                                                                                                  NULL NO         
detalle_compra                                                                                                                   cantidad                                                                                                                         int                                                                                                                                                  NULL NO         
detalle_compra                                                                                                                   precio_compra                                                                                                                    decimal                                                                                                                                              NULL NO         
detalle_compra                                                                                                                   subtotal                                                                                                                         decimal                                                                                                                                              NULL NO         
detalle_ingreso                                                                                                                  iddetalle_ingreso                                                                                                                int                                                                                                                                                  NULL NO         
detalle_ingreso                                                                                                                  idingreso                                                                                                                        int                                                                                                                                                  NULL NO         
detalle_ingreso                                                                                                                  idarticulo                                                                                                                       int                                                                                                                                                  NULL NO         
detalle_ingreso                                                                                                                  cantidad                                                                                                                         int                                                                                                                                                  NULL NO         
detalle_ingreso                                                                                                                  precio_compra                                                                                                                    money                                                                                                                                                NULL NO         
detalle_pedido                                                                                                                   iddetalle_pedido                                                                                                                 int                                                                                                                                                  NULL NO         
detalle_pedido                                                                                                                   idpedido                                                                                                                         int                                                                                                                                                  NULL NO         
detalle_pedido                                                                                                                   idarticulo                                                                                                                       int                                                                                                                                                  NULL NO         
detalle_pedido                                                                                                                   cantidad                                                                                                                         int                                                                                                                                                  NULL NO         
